                     Time          VehicleSpeed_HS
                        s                      kph
           2044.020000000              5.940000000
           2044.040000000              5.930000000
           2044.060000000              5.920000000
           2044.080000000              5.900000000
           2044.100000000              5.900000000
           2044.120000000              5.890000000
           2044.140000000              5.890000000
           2044.160000000              5.870000000
           2044.180000000              5.840000000
           2044.200000000              5.830000000
           2044.220000000              5.810000000
           2044.240000000              5.790000000
           2044.260000000              5.780000000
           2044.280000000              5.760000000
           2044.300000000              5.750000000
           2044.320000000              5.740000000
           2044.340000000              5.740000000
           2044.360000000              5.730000000
           2044.380000000              5.730000000
           2044.400000000              5.720000000
           2044.420000000              5.710000000
           2044.440000000              5.710000000
           2044.460000000              5.690000000
           2044.480000000              5.690000000
           2044.500000000              5.680000000
           2044.520000000              5.660000000
           2044.540000000              5.630000000
           2044.560000000              5.620000000
           2044.580000000              5.600000000
           2044.600000000              5.580000000
           2044.620000000              5.570000000
           2044.640000000              5.550000000
           2044.660000000              5.530000000
           2044.680000000              5.510000000
           2044.700000000              5.500000000
           2044.720000000              5.470000000
           2044.740000000              5.450000000
           2044.760000000              5.420000000
           2044.780000000              5.400000000
           2044.800000000              5.380000000
           2044.820000000              5.350000000
           2044.840000000              5.310000000
           2044.860000000              5.280000000
           2044.880000000              5.270000000
           2044.900000000              5.240000000
           2044.920000000              5.190000000
           2044.940000000              5.160000000
           2044.960000000              5.140000000
           2044.980000000              5.110000000
           2045.000000000              5.060000000
           2045.020000000              5.020000000
           2045.040000000              5.000000000
           2045.060000000              4.970000000
           2045.080000000              4.920000000
           2045.100000000              4.880000000
           2045.120000000              4.860000000
           2045.140000000              4.820000000
           2045.160000000              4.770000000
           2045.180000000              4.740000000
           2045.200000000              4.700000000
           2045.220000000              4.660000000
           2045.240000000              4.620000000
           2045.260000000              4.580000000
           2045.280000000              4.540000000
           2045.300000000              4.480000000
           2045.320000000              4.430000000
           2045.340000000              4.370000000
           2045.360000000              4.310000000
           2045.380000000              4.240000000
           2045.400000000              4.180000000
           2045.420000000              4.130000000
           2045.440000000              4.060000000
           2045.460000000              3.980000000
           2045.480000000              3.910000000
           2045.500000000              3.830000000
           2045.520000000              3.770000000
           2045.540000000              3.720000000
           2045.560000000              3.640000000
           2045.580000000              3.570000000
           2045.600000000              3.510000000
           2045.620000000              3.440000000
           2045.640000000              3.390000000
           2045.660000000              3.330000000
           2045.680000000              3.280000000
           2045.700000000              3.240000000
           2045.720000000              3.170000000
           2045.740000000              3.110000000
           2045.760000000              3.060000000
           2045.780000000              3.010000000
           2045.800000000              2.960000000
           2045.820000000              2.920000000
           2045.840000000              2.880000000
           2045.860000000              2.830000000
           2045.880000000              2.790000000
           2045.900000000              2.750000000
           2045.920000000              2.710000000
           2045.940000000              2.680000000
           2045.960000000              2.640000000
           2045.980000000              2.610000000
           2046.000000000              2.590000000
           2046.020000000              2.560000000
           2046.040000000              2.550000000
           2046.060000000              2.520000000
           2046.080000000              2.510000000
           2046.100000000              2.490000000
           2046.120000000              2.480000000
           2046.140000000              2.460000000
           2046.160000000              2.460000000
           2046.180000000              2.450000000
           2046.200000000              2.440000000
           2046.220000000              2.430000000
           2046.240000000              2.420000000
           2046.260000000              2.410000000
           2046.280000000              2.400000000
           2046.300000000              2.410000000
           2046.320000000              2.390000000
           2046.340000000              2.380000000
           2046.360000000              2.350000000
           2046.380000000              2.310000000
           2046.400000000              2.260000000
           2046.420000000              2.210000000
           2046.440000000              2.160000000
           2046.460000000              2.100000000
           2046.480000000              2.050000000
           2046.500000000              2.010000000
